TSI%,TSI Fit Factor,O2Hb1,HHb1,tHb1,HbDiff1,O2Hb2,HHb2,tHb2,HbDiff2,O2Hb3,HHb3,tHb3,HbDiff3,O2Hb2-2,HHb2-2,tHb2-2,HbDiff2-2,Event,Event Time
69.0900574,99.8757172,15.347044,2.7189131,18.0663567,12.6281071,14.9429092,3.0073166,17.9497261,11.9354792,14.9133854,3.3210969,18.234684,11.592289,17.3027782,2.2605503,19.5635948,15.0422421,,
69.0771942,99.875412,15.1309404,2.7316957,17.8630352,12.3992205,14.7644377,2.9965308,17.7604656,11.7677946,14.7243595,3.3192773,18.0438366,11.4050846,17.1414833,2.2721024,19.4138508,14.8693924,,
69.0465393,99.875351,15.138258,2.7552605,17.893919,12.3829737,14.7498903,3.0368793,17.7862682,11.7128973,14.7292728,3.3495431,18.0790157,11.3797302,17.095541,2.2500441,19.3458519,14.8455105,,
69.1563034,99.8761292,15.6055651,2.8531957,18.4591599,12.7523413,15.2283373,3.1356978,18.3635349,12.0925236,15.2101469,3.4539971,18.664341,11.7561493,17.3431034,2.2758021,19.6191711,15.0673141,,
69.1685028,99.8766327,16.058918,2.9402566,18.9995766,13.1186342,15.6264238,3.2348607,18.8607845,12.3914471,15.5959749,3.5425396,19.1387138,12.0534353,17.6281567,2.3090742,19.9374962,15.3190975,,
69.0982132,99.8779068,15.8912754,2.9370439,18.8287163,12.9542036,15.4830446,3.2276249,18.7101688,12.2553024,15.4251499,3.5430541,18.9684029,11.8820953,17.5400124,2.2894247,19.8297024,15.2505999,,
69.0314407,99.8769608,15.6128178,2.9134655,18.5266838,12.6993275,15.2038898,3.2050662,18.4084549,11.9987068,15.1594467,3.5194259,18.6790714,11.6400204,17.3463058,2.278666,19.6252384,15.0676527,,
68.9709625,99.8764267,15.5097599,2.89292,18.40308,12.6168146,15.0829878,3.192692,18.275177,11.8901806,15.0424252,3.5061901,18.5488148,11.5362349,17.262413,2.2762566,19.5389366,14.9861679,,
68.9893875,99.8760834,15.5219679,2.8891172,18.4114876,12.6328259,15.0987883,3.196321,18.2946072,11.9023523,15.0772963,3.5105813,18.5880775,11.5667152,17.2751732,2.2780685,19.5535088,14.9971189,,
69.0944519,99.8763275,16.1081181,2.9680319,19.0765495,13.1400585,15.669055,3.2759831,18.9445381,12.3929539,15.6374464,3.5977535,19.2354012,12.0396938,17.6547947,2.3163931,19.9714527,15.3384151,,
69.0928955,99.8770294,16.3238392,3.0186887,19.342926,13.3051205,15.8800373,3.3240891,19.2036266,12.55583,15.8247528,3.6520779,19.4770317,12.1726742,17.7994576,2.3356278,20.1353493,15.4638424,,
69.0974884,99.8780212,16.0684032,2.9974055,19.0662079,13.0709705,15.6629152,3.2961593,18.9585743,12.3666372,15.6101475,3.6195648,19.2299099,11.9905806,17.6285858,2.3342175,19.963068,15.2943821,,
69.030777,99.8780823,15.8289852,2.9720933,18.8014793,12.8568668,15.4189129,3.2913926,18.7098064,12.1274052,15.3927794,3.6059804,18.9989586,11.7867975,17.4584656,2.2910132,19.7497482,15.1674671,,
69.008812,99.8777466,15.6281433,2.9445057,18.5730476,12.6836109,15.2363863,3.2528801,18.4887676,11.9833899,15.2055359,3.572453,18.7781868,11.6330843,17.3305435,2.2966976,19.6275063,15.0338612,,
69.0049362,99.8766022,15.6018314,2.9388556,18.5410881,12.6629505,15.2060747,3.2419999,18.4475727,11.9639606,15.1806459,3.5667598,18.7476025,11.6138859,17.2853584,2.2604735,19.5460968,15.0248976,,
69.0436249,99.875885,16.0258541,3.0046558,19.0309105,13.0211716,15.6157789,3.3186977,18.9339771,12.2969646,15.5978184,3.659169,19.257185,11.9386482,17.4540539,2.2462249,19.7005424,15.2078447,,
69.1424026,99.8762817,16.6627884,3.1164668,19.7796574,13.5462904,16.2216663,3.4307957,19.6519623,12.7907495,16.1909599,3.770541,19.9617023,12.4204178,17.811861,2.247767,20.0598946,15.5641079,,
