TSI%,TSI Fit Factor,O2Hb1,HHb1,tHb1,HbDiff1,O2Hb2,HHb2,tHb2,HbDiff2,O2Hb3,HHb3,tHb3,HbDiff3,O2Hb2-2,HHb2-2,tHb2-2,HbDiff2-2,Event,Event Time
68.5009995,99.8657761,-2.1371584,-0.5797246,-2.7168829,-1.5574503,-2.037642,-0.6453099,-2.6829519,-1.3923033,-2.6432309,0.5399235,-2.1033075,-3.1830544,10.4824314,4.776536,15.2590666,5.7058454,,
68.4391327,99.8654099,-2.1591916,-0.5785378,-2.7377295,-1.5806701,-2.065021,-0.6403905,-2.7054114,-1.4246017,-2.6731782,0.5505463,-2.122632,-3.2236247,10.4580336,4.7610083,15.2191439,5.6969752,,
68.3869705,99.8647614,-2.192555,-0.5734843,-2.7660394,-1.619087,-2.0869417,-0.6410367,-2.7279782,-1.4458759,-2.7079482,0.5633787,-2.1445696,-3.2712269,10.3898897,4.7761335,15.1661224,5.6137042,,
68.3095398,99.8642044,-2.2252436,-0.5736465,-2.7988899,-1.6516135,-2.1175559,-0.6394534,-2.757009,-1.4780731,-2.7463458,0.577158,-2.1691878,-3.3234036,10.3526411,4.7653503,15.1180906,5.5872407,,
68.2608948,99.8637238,-2.2604799,-0.5698008,-2.8302808,-1.690695,-2.1437917,-0.6377524,-2.7815442,-1.5060098,-2.7799358,0.5896107,-2.1903253,-3.3694465,10.3018875,4.7567744,15.0587597,5.5450621,,
68.201889,99.8634262,-2.2859933,-0.5676411,-2.8536346,-1.7183682,-2.1692195,-0.6338027,-2.8030224,-1.5353875,-2.811069,0.6009446,-2.2101245,-3.4119136,10.2605038,4.7503715,15.0109758,5.5100813,,
68.1319275,99.8629761,-2.3041668,-0.5658255,-2.869992,-1.7383569,-2.1936002,-0.6297494,-2.82335,-1.5638213,-2.8420477,0.6119982,-2.2300494,-3.4539459,10.2387409,4.7416782,14.9805174,5.4970102,,
68.0766296,99.8623047,-2.3309357,-0.560905,-2.8918405,-1.7700465,-2.2149723,-0.6292991,-2.8442714,-1.5856433,-2.8749211,0.6238074,-2.2511139,-3.4986286,10.2023067,4.743979,14.9463835,5.4582763,,
67.9651794,99.8611603,-2.3529246,-0.5638505,-2.916775,-1.7890898,-2.2452278,-0.6296785,-2.8749063,-1.6155195,-2.9159908,0.6389118,-2.2770791,-3.5548027,10.1825066,4.7307138,14.9133205,5.4517412,,
67.8743439,99.8606033,-2.3734283,-0.566641,-2.9400694,-1.806803,-2.2754843,-0.6257944,-2.9012785,-1.6496598,-2.9502666,0.6515945,-2.2986722,-3.6017609,10.1574106,4.7110543,14.8685637,5.4463053,,
67.822403,99.8601913,-2.405972,-0.5631365,-2.9691088,-1.842851,-2.302197,-0.6231758,-2.9253728,-1.6789911,-2.9837155,0.6635972,-2.3201184,-3.6472125,10.1001225,4.7105098,14.8107319,5.3895597,,
