t,Rf,VT,VE,IV,VO2,VCO2,RQ,O2exp,CO2exp,VEVO2,VEVCO2,VO2/kg,METS,FeO2,FeCO2,FetO2,FetCO2,FiO2,FiCO2,PeO2,PeCO2,PetO2,PetCO2,Power,PWR,RPM,Phase,Amb. Temp.,RH Amb,Analyz. Press.,PB,EEkc,EEh,EEm,EEtot,EEkg,PRO,Fat,CHO,PRO%,FAT%,CHO%,npRQ,GPS Dist.,Ti,Te,Ttot,Ti/Ttot,VD/VT e,LogVE,t Rel,mark Speed,mark Distance,Phase time,VO2/kg%Pred,BR,RealPower,VT/Ti,PaCO2_e,SV e,CO e,CI e
205.0,10.95,2.727,29.858,2503,1392.079183,1142.965037,0.82,414.7,130.0,20.9,25.5,17.29,4.9,15.21,4.77,13.96,5.64,20.68,0.1,108,34,99,40,30,0.37,86,WARMUP,18.5,66,643,755,9628,401.2,6.69,13,119.6,0,5881,3748,0,61.1,38.9,0.82,0,2.19,3.29,5.48,0.4,0.16,1.475,5,0,0,,40,85.0,30,1.25,41.43,,,
210.0,13.36,1.925,25.724,2284,1069.1516014,881.8617624,0.82,307.4,81.8,23.2,28.1,13.28,3.8,15.97,4.25,14.46,5.43,20.85,0.07,113,30,102,38,30,0.37,85,WARMUP,18.5,66,643,755,7401,308.4,5.14,13,91.9,0,4425,2976,0,59.8,40.2,0.82,0,2.06,2.43,4.49,0.46,0.21,1.41,5,0,0,,31,87.1,30,0.93,40.1,,,
216.0,9.97,2.923,29.133,2675,1280.3004495,1063.2532137,0.83,458.4,132.1,22.2,26.7,15.9,4.5,15.68,4.52,13.94,5.69,20.85,0.07,111,32,99,40,30,0.37,86,WARMUP,18.5,66,643,755,8874,369.8,6.16,14,110.2,0,5135,3740,0,57.9,42.1,0.83,0,2.59,3.43,6.02,0.43,0.21,1.464,6,0,0,,37,85.4,30,1.13,41.75,73.1,14.6,7.2
220.0,14.39,1.727,24.849,1773,1082.13695,861.7460056,0.8,271.6,74.4,22.0,27.7,13.44,3.8,15.73,4.31,14.21,5.48,20.81,0.08,111,31,101,39,30,0.37,84,WARMUP,18.5,66,643,755,7442,310.1,5.17,14,92.5,0,5173,2269,0,69.5,30.5,0.8,0,2.02,2.15,4.17,0.48,0.2,1.395,4,0,0,,31,87.5,30,0.85,40.41,65.3,13.1,6.4
224.0,15.5,2.036,31.566,1369,1568.3574275,1177.1216214,0.75,307.2,94.2,19.4,25.9,19.48,5.6,15.09,4.63,13.48,5.78,20.83,0.08,107,33,95,41,30,0.37,83,WARMUP,18.5,66,643,755,10672,444.7,7.41,14,132.6,0,9086,1586,0,85.1,14.9,0.75,0,1.8,2.07,3.87,0.47,0.19,1.499,4,0,0,,45,84.2,30,1.13,42.33,83.1,16.6,8.2
229.0,11.98,2.486,29.772,2161,1437.024102,1091.3950186,0.76,378.9,113.1,20.1,26.5,17.85,5.1,15.24,4.55,13.64,5.66,20.83,0.08,108,32,97,40,30,0.37,83,WARMUP,18.5,66,643,755,9799,408.3,6.8,15,121.7,0,8044,1755,0,82.1,17.9,0.76,0,2.26,2.75,5.01,0.45,0.2,1.474,5,0,0,,41,85.1,30,1.1,41.56,,,
233.0,15.96,1.852,29.553,1665,1363.4125789,1024.8618809,0.75,287.2,79.6,20.9,27.7,16.94,4.8,15.51,4.3,13.88,5.52,20.84,0.07,110,30,98,39,30,0.37,85,WARMUP,18.5,66,643,755,9280,386.7,6.44,15,115.3,0,7865,1415,0,84.7,15.3,0.75,0,2.0,1.76,3.76,0.53,0.21,1.471,4,0,0,,39,85.2,30,0.93,40.67,,,
238.0,10.14,3.839,38.909,3703,1508.870568,1272.0994388,0.84,624.9,155.7,25.3,30.0,18.74,5.4,16.28,4.06,14.84,5.17,20.85,0.07,115,29,105,37,30,0.37,84,WARMUP,18.5,66,643,755,10489,437.0,7.28,16,130.3,0,5617,4871,0,53.6,46.4,0.84,0,2.05,3.87,5.92,0.35,0.23,1.59,5,0,0,,43,80.5,30,1.87,38.44,,,
242.0,16.95,1.181,20.017,1115,764.618408,602.7212259,0.79,193.2,44.3,24.6,31.2,9.5,2.7,16.36,3.75,14.54,5.21,20.81,0.08,116,27,103,37,30,0.37,85,WARMUP,18.5,66,643,755,5249,218.7,3.65,16,65.2,0,3793,1456,0,72.3,27.7,0.79,0,1.4,2.14,3.54,0.4,0.25,1.301,4,0,0,,22,90.0,30,0.84,38.7,,,
246.0,16.57,1.859,30.812,1707,1485.4103231,1105.3575273,0.74,284.0,82.8,20.0,26.8,18.45,5.3,15.28,4.45,13.64,5.68,20.84,0.08,108,32,97,40,30,0.37,85,WARMUP,18.5,66,643,755,10093,420.5,7.01,17,125.4,0,8813,1279,0,87.3,12.7,0.74,0,1.58,2.04,3.62,0.44,0.21,1.489,4,0,0,,43,84.6,30,1.18,41.69,,,
250.0,14.93,1.678,25.045,1684,1250.3076822,895.145161,0.72,253.8,74.3,19.2,26.8,15.53,4.4,15.13,4.43,13.41,5.7,20.85,0.07,107,31,95,40,30,0.37,86,WARMUP,18.5,66,643,755,8440,351.7,5.86,17,104.8,0,8182,258,0,96.9,3.1,0.72,0,2.22,1.8,4.02,0.55,0.21,1.399,4,0,0,,36,87.4,30,0.76,41.82,,,
254.0,13.39,2.398,32.116,2096,1665.9145302,1210.7249648,0.73,357.0,111.9,18.7,25.8,20.69,5.9,14.89,4.67,13.39,5.72,20.85,0.07,105,33,95,40,30,0.37,88,WARMUP,18.5,66,643,755,11274,469.7,7.83,18,140.0,0,10513,760,0,93.3,6.7,0.73,0,1.91,2.57,4.48,0.43,0.18,1.507,4,0,0,,48,83.9,30,1.26,41.94,,,
259.0,12.17,1.579,19.217,1564,1022.7294679,717.6167862,0.7,233.0,73.0,18.0,25.6,12.7,3.6,14.76,4.62,12.82,5.94,20.84,0.07,104,33,91,42,30,0.37,85,WARMUP,18.5,66,643,755,6880,286.7,4.78,18,85.5,0,6880,0,0,100.0,0.0,0.7,0,2.27,2.66,4.93,0.46,0.2,1.284,5,0,0,,29,90.4,30,0.7,43.35,,,
264.0,12.42,2.862,35.553,2223,1938.8873546,1376.4008705,0.71,417.4,137.1,17.9,25.2,24.09,6.9,14.58,4.79,13.01,5.83,20.83,0.07,103,34,92,41,30,0.37,85,WARMUP,18.5,66,643,755,13069,544.5,9.08,19,162.3,0,12940,129,0,99.0,1.0,0.71,0,2.1,2.73,4.83,0.43,0.18,1.551,5,0,0,,56,82.2,30,1.36,42.64,,,
268.0,13.79,2.094,28.883,1819,1522.3195339,1086.3920179,0.71,310.1,97.5,18.3,25.7,18.91,5.4,14.81,4.66,13.11,5.83,20.85,0.07,105,33,93,41,30,0.37,85,WARMUP,18.5,66,643,755,10270,427.9,7.13,19,127.6,0,10037,233,0,97.7,2.3,0.71,0,2.13,2.22,4.35,0.49,0.19,1.461,4,0,0,,44,85.5,30,0.98,42.64,,,
273.0,13.79,1.753,24.179,1929,1194.3836284,855.1707302,0.72,266.2,77.0,19.4,27.1,14.84,4.2,15.19,4.39,13.58,5.6,20.85,0.08,108,31,96,40,30,0.37,86,WARMUP,18.5,66,643,755,8062,335.9,5.6,20,100.2,0,7815,247,0,96.9,3.1,0.72,0,2.25,2.1,4.35,0.52,0.2,1.383,5,0,0,,34,87.9,30,0.78,41.18,,,
276.0,21.43,1.315,28.179,945,1361.4825457,933.9890171,0.69,201.4,54.2,19.6,28.6,16.91,4.8,15.32,4.12,13.35,5.61,20.82,0.08,108,29,95,40,30,0.37,86,WARMUP,18.5,66,643,755,9126,380.2,6.34,20,113.4,0,9126,0,0,100.0,0.0,0.69,0,1.33,1.47,2.8,0.48,0.24,1.45,3,0,0,,39,85.9,30,0.99,41.24,,,
281.0,10.87,4.148,45.087,3926,1947.4497544,1540.5904558,0.79,656.4,175.7,22.8,28.8,24.19,6.9,15.82,4.24,14.31,5.34,20.86,0.07,112,30,101,38,30,0.37,86,WARMUP,18.5,66,643,755,13377,557.4,9.29,21,166.2,0,9538,3839,0,71.3,28.7,0.79,0,2.42,3.1,5.52,0.44,0.22,1.654,5,0,0,,56,77.4,30,1.71,39.52,,,
288.0,8.94,3.202,28.632,3257,1200.3993621,1056.6890223,0.88,507.1,146.3,23.3,26.5,14.91,4.3,15.84,4.57,14.3,5.66,20.82,0.07,112,32,101,40,30,0.37,84,WARMUP,18.5,66,643,755,8415,350.6,5.84,22,104.5,0,3438,4977,0,40.9,59.1,0.88,0,2.94,3.77,6.71,0.44,0.2,1.457,7,0,0,,35,85.6,30,1.09,41.56,,,
291.0,16.67,0.995,16.583,1183,701.5369212,527.7001734,0.75,158.7,39.4,22.0,29.2,8.71,2.5,15.95,3.96,13.84,5.67,20.84,0.08,113,28,98,40,30,0.37,86,WARMUP,18.5,66,643,755,4776,199.0,3.32,22,59.3,0,4039,737,0,84.6,15.4,0.75,0,2.15,1.45,3.6,0.6,0.26,1.22,3,0,0,,20,91.7,30,0.46,41.63,,,
294.0,18.87,1.482,27.962,1242,1503.0204297,1060.9755718,0.71,217.7,69.6,17.7,25.1,18.67,5.3,14.69,4.7,12.78,5.99,20.84,0.07,104,33,90,42,30,0.37,86,WARMUP,18.5,66,643,755,10122,421.7,7.03,22,125.7,0,10122,0,0,100.0,0.0,0.71,0,1.65,1.53,3.18,0.52,0.19,1.447,3,0,0,,43,86.0,30,0.9,43.67,,,
299.0,12.3,2.444,30.049,2268,1616.9231263,1177.7181626,0.73,358.6,118.5,18.1,24.8,20.09,5.7,14.67,4.85,13.16,5.88,20.86,0.07,104,34,93,42,30,0.37,85,WARMUP,18.5,66,643,755,10946,456.1,7.6,23,136.0,0,10148,798,0,92.7,7.3,0.73,0,2.14,2.74,4.88,0.44,0.17,1.478,5,0,0,,46,84.9,30,1.14,42.96,,,
305.0,10.75,3.105,33.387,2917,1620.0259232,1291.3316072,0.8,471.2,148.9,20.1,25.3,20.12,5.7,15.18,4.8,13.71,5.78,20.84,0.08,107,34,97,41,30,0.37,88,WARMUP,18.5,66,643,755,11144,464.3,7.74,23,138.4,0,7717,3427,0,69.2,30.8,0.8,0,1.84,3.74,5.58,0.33,0.18,1.524,6,0,0,,47,83.3,30,1.69,42.32,,,
309.0,16.09,2.121,34.118,1809,1601.5273227,1261.3679205,0.79,325.6,97.3,20.6,26.2,19.89,5.7,15.35,4.59,13.8,5.73,20.82,0.08,109,32,98,41,30,0.37,87,WARMUP,18.5,66,643,755,10992,458.0,7.63,24,136.5,0,7968,3024,0,72.5,27.5,0.79,0,1.49,2.24,3.73,0.4,0.19,1.533,4,0,0,,46,82.9,30,1.42,42.01,,,
